statefips,state,state_name,agi_stub,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,total_n1_1,total_n2_1,total_y1_agi_1,total_y2_agi_1,total_n1_2,total_n2_2,total_y1_agi_2,total_y2_agi_2,total_n1_3,total_n2_3,total_y1_agi_3,total_y2_agi_3,total_n1_4,total_n2_4,total_y1_agi_4,total_y2_agi_4,total_n1_5,total_n2_5,total_y1_agi_5,total_y2_agi_5,total_n1_6,total_n2_6,total_y1_agi_6,total_y2_agi_6,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,nonmig_n1_1,nonmig_n2_1,nonmig_y1_agi_1,nonmig_y2_agi_1,nonmig_n1_2,nonmig_n2_2,nonmig_y1_agi_2,nonmig_y2_agi_2,nonmig_n1_3,nonmig_n2_3,nonmig_y1_agi_3,nonmig_y2_agi_3,nonmig_n1_4,nonmig_n2_4,nonmig_y1_agi_4,nonmig_y2_agi_4,nonmig_n1_5,nonmig_n2_5,nonmig_y1_agi_5,nonmig_y2_agi_5,nonmig_n1_6,nonmig_n2_6,nonmig_y1_agi_6,nonmig_y2_agi_6,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,outflow_n1_1,outflow_n2_1,outflow_y1_agi_1,outflow_y2_agi_1,outflow_n1_2,outflow_n2_2,outflow_y1_agi_2,outflow_y2_agi_2,outflow_n1_3,outflow_n2_3,outflow_y1_agi_3,outflow_y2_agi_3,outflow_n1_4,outflow_n2_4,outflow_y1_agi_4,outflow_y2_agi_4,outflow_n1_5,outflow_n2_5,outflow_y1_agi_5,outflow_y2_agi_5,outflow_n1_6,outflow_n2_6,outflow_y1_agi_6,outflow_y2_agi_6,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,inflow_n1_1,inflow_n2_1,inflow_y1_agi_1,inflow_y2_agi_1,inflow_n1_2,inflow_n2_2,inflow_y1_agi_2,inflow_y2_agi_2,inflow_n1_3,inflow_n2_3,inflow_y1_agi_3,inflow_y2_agi_3,inflow_n1_4,inflow_n2_4,inflow_y1_agi_4,inflow_y2_agi_4,inflow_n1_5,inflow_n2_5,inflow_y1_agi_5,inflow_y2_agi_5,inflow_n1_6,inflow_n2_6,inflow_y1_agi_6,inflow_y2_agi_6,samest_n1_0,samest_n2_0,samest_y1_agi_0,samest_y2_agi_0,samest_n1_1,samest_n2_1,samest_y1_agi_1,samest_y2_agi_1,samest_n1_2,samest_n2_2,samest_y1_agi_2,samest_y2_agi_2,samest_n1_3,samest_n2_3,samest_y1_agi_3,samest_y2_agi_3,samest_n1_4,samest_n2_4,samest_y1_agi_4,samest_y2_agi_4,samest_n1_5,samest_n2_5,samest_y1_agi_5,samest_y2_agi_5,samest_n1_6,samest_n2_6,samest_y1_agi_6,samest_y2_agi_6
01,AL,Alabama,0,1762005,3646938,124685770,143482986,187166,267480,4122052,5245810,328031,721148,14532994,16572797,319131,882123,22010119,24900516,287507,674095,26133334,30294585,287701,530213,29121212,32626269,352469,571879,28766057,33843007,1644273,3422535,117866248,135616250,162361,233152,3572790,4515396,293425,652536,12993370,14759306,298185,828475,20656521,23352324,273196,643623,24944725,28943286,276179,510376,27854506,31264509,340927,554373,27844333,32781427,46823,84538,2663092,3237073,10732,13928,238379,338572,15135,27356,693287,817821,7960,20407,570175,659895,4772,9967,408785,485545,3806,6392,391283,447330,4418,6488,361180,487907,55162,106884,3496607,4040202,10004,13534,227315,297450,15804,31093,755955,898015,9998,26791,726482,830887,6824,15036,618649,701348,6185,10711,659759,725795,6347,9719,508444,586704,62570,117519,3322915,3826532,14801,20794,321946,432962,18802,37519,783667,915475,10948,26857,627115,717304,7487,15436,569959,649950,5337,9126,606946,635964,5195,7787,413279,474875
01,AL,Alabama,1,134783,223469,1656751,755949,30377,42376,286904,177177,25972,52207,321583,148940,17794,38724,229567,102089,12420,21333,157315,71216,14580,21480,208500,78045,33640,47349,452880,178479,123142,205186,1509462,691113,26305,36841,247210,153695,22968,46690,284241,131947,16167,35509,207436,93174,11458,19875,144605,65986,13856,20529,197152,74225,32388,45742,428815,172084,4801,7268,59675,26646,1658,2114,15905,9580,1421,2462,17896,7890,601,1166,7742,3218,350,516,4684,1959,265,364,3821,1378,506,646,9624,2618,5177,7966,73302,28490,1620,2135,16826,9321,1343,2357,17029,7515,709,1443,10861,3979,419,625,6090,2250,389,496,7266,1975,697,910,15228,3447,6464,10317,73987,36345,2452,3400,22868,14160,1661,3160,20311,9476,918,1772,11269,4935,543,833,6619,2980,335,455,4081,1844,555,697,8836,2947
01,AL,Alabama,2,360824,667684,6798646,6285646,73472,104166,1089573,1261765,82212,178943,1541684,1436359,61747,152055,1215964,1083968,40397,78414,816833,715502,38128,60809,732528,674974,64868,93297,1402062,1113076,334380,623091,6299337,5829221,64371,92073,953494,1105290,74626,164241,1395238,1304458,57809,143162,1134288,1016307,38227,74555,771458,677856,36542,58502,694196,647135,62805,90558,1350660,1078172,10577,16712,196008,182436,3741,4705,54802,64770,3196,5601,59907,55109,1430,3153,29323,24432,830,1420,17754,14321,535,751,13621,9298,845,1082,20597,14503,11299,18353,222737,195946,3585,4536,54759,61850,3188,5807,63149,55887,1601,3614,33617,27544,1018,1793,21923,17681,814,1143,21180,14331,1093,1460,28105,18650,15145,26240,276571,260478,5516,7557,81319,94624,4398,8895,83295,76013,2337,5279,48057,40115,1152,2066,23451,19964,772,1164,17150,13507,970,1279,23295,16253
01,AL,Alabama,3,463489,858929,15905620,16808016,60689,83153,1563300,2098081,106535,210055,3441308,3851988,87231,211352,3011618,3181636,69723,135032,2518244,2567677,65553,105002,2529826,2420383,73758,114335,2841320,2688248,431495,804232,14843857,15646486,52657,72244,1360083,1817283,95550,190340,3081660,3448128,81986,199513,2825329,2989159,66506,129336,2398555,2448883,63256,101596,2425640,2335791,71540,111203,2752587,2607240,12229,19600,384009,441421,3576,4562,85695,125314,4369,7247,137212,160048,1704,3775,59229,62206,1021,1852,36678,36977,730,1032,29659,26532,829,1132,35533,30339,14058,24234,486645,510845,3338,4555,86062,115966,4810,8711,159843,177450,2200,5132,80373,81044,1377,2427,53537,50749,1139,1704,59244,42103,1194,1705,47584,43530,17936,30463,575116,650684,4694,6354,117154,164832,6175,11004,199804,226409,3045,6707,105915,111432,1840,3269,66151,68044,1158,1702,44941,42488,1024,1427,41149,37478
01,AL,Alabama,4,265399,532025,15339354,16307106,15079,23784,648919,906909,50642,109526,2705173,3087478,50532,131084,2906879,3097396,47423,98936,2837523,2920489,47972,83210,2980042,2964423,53751,85485,3260816,3330408,247872,498503,14375015,15235116,12702,20134,554127,764049,44773,98079,2401966,2729762,46969,122356,2701559,2878976,45186,94641,2702866,2782762,46221,80364,2864357,2856239,52021,82929,3150138,3223325,7109,12912,374272,434894,1132,1587,42870,68360,2787,5020,141776,170214,1344,3304,76685,82347,715,1331,43014,43910,522,811,33748,32354,609,859,36177,37707,8228,16189,458363,505628,936,1435,37429,56582,2773,5535,144205,169960,1718,4417,101505,106044,960,1932,58398,59004,892,1467,57182,55232,949,1403,59643,58803,9299,17333,505975,566361,1441,2215,57363,86278,3096,5912,159001,187755,1845,4311,103815,112375,1277,2363,76259,78721,859,1379,58502,52951,781,1153,51034,48279
01,AL,Alabama,5,171060,394304,13891889,14834778,4900,8961,291425,416935,27722,71531,2073482,2395909,32043,98840,2591610,2782349,32454,79640,2703102,2818513,34368,66759,2973717,2982849,39573,68573,3258552,3438221,160786,371613,13101464,13945004,4105,7580,246939,349146,24535,64314,1846607,2120459,29878,92575,2421195,2594301,30876,76084,2573951,2681625,33079,64516,2860634,2870830,38313,66544,3152135,3328641,4123,8344,307449,356805,410,613,20942,34728,1546,3003,108311,133247,846,2291,66563,73606,486,1084,40796,42154,402,684,35044,35195,433,669,35791,37873,5262,11689,411096,456182,331,547,18007,28189,1559,3371,112657,134626,1161,3467,92602,101235,798,1896,65775,69279,701,1248,60876,60906,712,1160,61177,61944,5012,11002,379329,433591,464,834,26477,39598,1628,3846,114217,140823,1004,2798,77812,86812,780,1660,63375,67608,588,995,52206,51112,548,869,45239,47635
01,AL,Alabama,6,269699,704574,33609739,36654763,2500,4815,193140,310239,30408,85832,3303403,3973319,53465,188378,6612867,7252857,61077,179745,7914094,8413908,60534,130599,7962593,8327423,61715,115205,7623639,8377014,254700,666797,31837315,34617111,2092,4090,164490,258083,26938,77163,2946690,3517986,49993,176919,6199850,6782254,58114,171812,7537277,8005640,57964,125391,7624275,7968267,59599,111422,7364731,8084878,5837,14215,678509,788392,190,315,12517,23509,1564,3462,156082,204125,1521,4993,181068,206039,923,2426,116753,128584,860,1676,114889,120131,779,1343,97198,106002,8266,20827,989983,1128955,194,326,14230,25539,1830,4504,190465,241635,2014,6648,241826,274376,1567,4281,201211,217462,1475,2931,196744,206735,1186,2137,145503,163205,6733,16950,782441,908696,214,399,14419,26616,1640,4165,166247,213697,1458,4811,171191,196227,1396,3652,175605,190805,1095,2277,141572,152420,930,1646,113404,128929
01,AL,Alabama,7,96751,265953,37483768,51836726,149,225,48788,74701,4540,13054,1146358,1678801,16319,61690,5441611,7400219,24013,80995,9186219,12787277,26566,62354,11734004,15178169,25164,47635,9926786,14717557,91898,253113,35899795,49652196,129,190,46445,67848,4035,11709,1036964,1506562,15383,58441,5166861,6998150,22829,77320,8816010,12280531,25261,59478,11188249,14512018,24261,45975,9645264,14287083,2147,5487,663167,1006476,25,32,5645,12307,252,561,72100,87186,514,1725,149560,208045,447,1338,149103,217638,492,1074,160498,222438,417,757,126257,258861,2872,7626,854478,1214154,0,0,0,0,301,808,68604,110938,595,2070,165696,236662,685,2082,211711,284919,775,1722,257263,344511,516,944,151201,237122,1981,5214,729494,970375,20,35,2343,6852,204,537,40789,61299,341,1179,109053,165405,499,1593,158496,221825,530,1154,288491,321639,387,716,130320,193352
02,AK,Alaska,0,283975,568973,23549982,27104359,35889,46129,936630,1186539,59984,119788,3220833,3704349,53883,148963,4808895,5412525,40274,95458,4497210,5158810,43759,78832,5020983,5705605,50186,79803,5065428,5936527,263142,530081,22341187,25688135,30814,39453,810978,1020236,53098,106629,2887461,3302354,50131,138914,4526742,5093726,38248,91154,4309979,4951756,42148,76222,4854942,5516924,48703,77709,4951083,5803136,16668,32210,1131933,1283553,3998,5463,105518,129037,5063,10124,271377,308495,2926,8087,245796,269436,1561,3459,165251,179653,1568,2707,178403,191893,1552,2370,165585,205037,14575,27334,825924,977074,3846,5132,92795,126458,4946,9520,238117,285304,2491,6902,193915,221952,1319,2830,124254,139024,990,1601,103732,119712,983,1349,73108,84622,6258,11558,382870,439149,1229,1544,32857,39845,1940,3639,95254,116690,1261,3147,88236,96846,707,1474,62976,68029,621,1009,62308,68968,500,745,41237,48769
02,AK,Alaska,1,18083,26933,219005,85738,3926,4837,38199,21121,3690,6168,43214,18045,2336,4664,28226,10768,1509,2484,20534,6823,2154,2943,29552,9460,4468,5837,59278,19519,16664,24906,201448,78465,3461,4268,32915,18565,3300,5534,38095,16109,2144,4329,26269,9793,1400,2317,18864,6256,2062,2833,28378,9036,4297,5625,56925,18704,1033,1442,18518,5543,379,462,4626,2176,248,370,3683,1290,117,226,2311,561,67,102,1508,392,82,112,2384,422,140,170,4004,699,842,1147,10963,4582,292,347,3179,1662,226,351,3164,1227,102,167,1094,535,60,86,1099,340,53,65,849,253,109,131,1575,561,577,880,6593,2690,173,222,2104,893,164,283,1954,708,90,168,862,439,49,81,570,225,39,45,324,170,62,81,776,253
