y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,49961,88139,3193874
01,97,AL,AL Total Migration-US,49167,86565,3140151
01,98,AL,AL Total Migration-Foreign,794,1574,53723
01,97,AL,AL Total Migration-Same State,64836,120055,3691289
01,01,AL,AL Non-migrants,1713388,3550021,139765985
01,13,GA,Georgia,8527,15500,466822
01,12,FL,Florida,7060,12289,524870
01,47,TN,Tennessee,4554,7613,292191
01,48,TX,Texas,4359,7913,296646
01,28,MS,Mississippi,2588,4788,151275
01,37,NC,North Carolina,1904,3351,125401
01,06,CA,California,1589,2630,111006
01,51,VA,Virginia,1388,2559,106126
01,45,SC,South Carolina,1189,2053,89520
01,08,CO,Colorado,1135,1925,75846
01,22,LA,Louisiana,1101,1894,66858
01,39,OH,Ohio,944,1714,54482
01,17,IL,Illinois,940,1567,53642
01,36,NY,New York,931,1442,50374
01,26,MI,Michigan,815,1347,36290
01,57,FR,Foreign,794,1574,53723
01,21,KY,Kentucky,750,1353,49559
01,53,WA,Washington,686,1187,43927
01,18,IN,Indiana,679,1200,35244
01,29,MO,Missouri,650,1163,38850
01,04,AZ,Arizona,604,1067,40409
01,42,PA,Pennsylvania,560,910,31649
01,24,MD,Maryland,554,932,40185
01,05,AR,Arkansas,464,847,28590
01,40,OK,Oklahoma,420,864,24064
01,20,KS,Kansas,363,782,21627
01,55,WI,Wisconsin,340,574,19396
01,25,MA,Massachusetts,319,471,21692
01,32,NV,Nevada,316,567,20413
01,34,NJ,New Jersey,300,472,18722
01,41,OR,Oregon,277,444,16439
01,49,UT,Utah,276,525,20778
01,27,MN,Minnesota,248,399,14329
01,19,IA,Iowa,222,436,13727
01,35,NM,New Mexico,214,369,14524
01,15,HI,Hawaii,212,447,14614
01,02,AK,Alaska,210,403,12585
01,31,NE,Nebraska,168,328,11303
01,11,DC,District of Columbia,165,188,12918
01,09,CT,Connecticut,162,257,9908
01,54,WV,West Virginia,146,264,10174
01,30,MT,Montana,142,242,8542
01,16,ID,Idaho,130,266,8138
01,23,ME,Maine,102,171,7340
01,56,WY,Wyoming,76,150,5645
01,46,SD,South Dakota,74,140,4547
01,38,ND,North Dakota,74,155,3688
01,10,DE,Delaware,69,116,4106
01,33,NH,New Hampshire,66,116,3887
01,44,RI,Rhode Island,64,98,4748
01,50,VT,Vermont,41,77,2532
02,96,AK,AK Total Migration-US and Foreign,16482,30613,1166189
02,97,AK,AK Total Migration-US,16018,29748,1135840
02,98,AK,AK Total Migration-Foreign,464,865,30349
02,97,AK,AK Total Migration-Same State,6034,10864,426337
02,02,AK,AK Non-migrants,272797,546168,26772183
02,53,WA,Washington,1600,2642,122661
02,48,TX,Texas,1349,2738,104785
02,06,CA,California,1143,1903,71061
02,12,FL,Florida,970,1916,73719
02,04,AZ,Arizona,926,1630,69023
02,41,OR,Oregon,755,1200,52140
02,08,CO,Colorado,697,1237,47851
02,37,NC,North Carolina,518,1037,34462
02,13,GA,Georgia,480,1044,29933
02,57,FR,Foreign,464,865,30349
02,51,VA,Virginia,425,884,32389
02,32,NV,Nevada,413,753,31393
02,16,ID,Idaho,410,750,28079
02,49,UT,Utah,386,749,24985
02,15,HI,Hawaii,341,687,23874
02,47,TN,Tennessee,339,667,25884
02,36,NY,New York,319,538,18097
02,27,MN,Minnesota,279,498,16405
02,40,OK,Oklahoma,267,565,18979
02,30,MT,Montana,265,449,19504
02,39,OH,Ohio,263,469,17103
02,45,SC,South Carolina,255,538,15970
02,26,MI,Michigan,249,444,18931
02,01,AL,Alabama,234,501,16801
02,42,PA,Pennsylvania,232,440,18929
02,29,MO,Missouri,218,455,15592
02,55,WI,Wisconsin,211,372,14991
02,17,IL,Illinois,209,363,12997
02,35,NM,New Mexico,206,364,12862
02,20,KS,Kansas,158,311,10014
02,22,LA,Louisiana,156,316,10181
02,21,KY,Kentucky,153,318,9823
02,18,IN,Indiana,148,283,11445
02,24,MD,Maryland,147,276,10687
02,05,AR,Arkansas,145,302,9578
02,25,MA,Massachusetts,110,156,7381
02,19,IA,Iowa,108,212,8174
02,31,NE,Nebraska,104,211,7523
02,28,MS,Mississippi,102,203,6623
02,38,ND,North Dakota,100,211,7697
02,34,NJ,New Jersey,99,171,6027
02,23,ME,Maine,97,173,8805
02,56,WY,Wyoming,90,178,6718
02,46,SD,South Dakota,82,169,6919
02,33,NH,New Hampshire,62,105,4291
02,54,WV,West Virginia,53,95,3841
02,09,CT,Connecticut,38,52,2907
02,50,VT,Vermont,34,54,2518
02,11,DC,District of Columbia,27,32,1843
02,10,DE,Delaware,26,54,2104
02,44,RI,Rhode Island,20,33,1340
04,96,AZ,AZ Total Migration-US and Foreign,106457,178974,8043964
04,97,AZ,AZ Total Migration-US,104359,175302,7888820
04,98,AZ,AZ Total Migration-Foreign,2098,3672,155145
04,97,AZ,AZ Total Migration-Same State,49536,87245,3063368
