y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,56085,104560,3739204
01,97,AL,AL Total Migration-US,55369,102902,3680222
01,98,AL,AL Total Migration-Foreign,716,1658,58981
01,97,AL,AL Total Migration-Same State,64836,120055,3691289
01,01,AL,AL Non-migrants,1713388,3550021,139765985
01,13,GA,Georgia,9224,17174,563162
01,12,FL,Florida,8410,15260,514048
01,47,TN,Tennessee,4905,8763,324148
01,48,TX,Texas,3748,7120,269155
01,28,MS,Mississippi,3287,5847,182236
01,06,CA,California,2342,4462,173793
01,37,NC,North Carolina,1692,3194,111163
01,51,VA,Virginia,1548,3108,140656
01,22,LA,Louisiana,1375,2549,93377
01,17,IL,Illinois,1301,2370,92320
01,08,CO,Colorado,1261,2360,98511
01,45,SC,South Carolina,1114,2035,73384
01,36,NY,New York,1094,1924,70956
01,39,OH,Ohio,1064,1923,66703
01,26,MI,Michigan,952,1753,51578
01,21,KY,Kentucky,925,1769,65091
01,18,IN,Indiana,911,1765,56559
01,53,WA,Washington,814,1603,61784
01,42,PA,Pennsylvania,807,1465,60940
01,29,MO,Missouri,776,1423,53772
01,04,AZ,Arizona,748,1416,51751
01,57,FR,Foreign,716,1658,58981
01,24,MD,Maryland,599,1087,50761
01,05,AR,Arkansas,513,1002,32906
01,40,OK,Oklahoma,437,861,29966
01,34,NJ,New Jersey,425,721,30953
01,32,NV,Nevada,388,776,26431
01,20,KS,Kansas,381,809,24525
01,55,WI,Wisconsin,373,654,24578
01,49,UT,Utah,342,754,26718
01,25,MA,Massachusetts,334,541,23920
01,27,MN,Minnesota,314,562,24083
01,41,OR,Oregon,284,519,19701
01,09,CT,Connecticut,267,480,21540
01,19,IA,Iowa,247,475,15181
01,15,HI,Hawaii,245,556,18709
01,02,AK,Alaska,234,501,16801
01,35,NM,New Mexico,221,429,14736
01,54,WV,West Virginia,188,341,13360
01,31,NE,Nebraska,181,370,12296
01,16,ID,Idaho,169,363,11154
01,30,MT,Montana,138,281,8866
01,33,NH,New Hampshire,110,202,8577
01,23,ME,Maine,107,191,6391
01,46,SD,South Dakota,104,203,6972
01,38,ND,North Dakota,96,228,6367
01,11,DC,District of Columbia,89,141,8711
01,56,WY,Wyoming,87,214,5427
01,10,DE,Delaware,74,135,5659
01,44,RI,Rhode Island,65,117,5055
01,50,VT,Vermont,59,106,4793
02,96,AK,AK Total Migration-US and Foreign,15109,26621,955014
02,97,AK,AK Total Migration-US,14629,25599,925909
02,98,AK,AK Total Migration-Foreign,480,1022,29106
02,97,AK,AK Total Migration-Same State,6034,10864,426337
02,02,AK,AK Non-migrants,272797,546168,26772183
02,06,CA,California,1363,2248,86280
02,53,WA,Washington,1310,2203,91260
02,48,TX,Texas,1256,2433,86950
02,12,FL,Florida,866,1502,48818
02,08,CO,Colorado,625,1054,43218
02,04,AZ,Arizona,612,1032,42478
02,41,OR,Oregon,607,967,38219
02,57,FR,Foreign,480,1022,29106
02,51,VA,Virginia,466,823,29682
02,37,NC,North Carolina,455,903,27037
02,13,GA,Georgia,415,798,22433
02,36,NY,New York,342,534,20503
02,49,UT,Utah,324,607,23966
02,16,ID,Idaho,311,560,18276
02,42,PA,Pennsylvania,286,450,15169
02,32,NV,Nevada,286,492,22119
02,39,OH,Ohio,286,481,15166
02,30,MT,Montana,271,471,20640
